iter	Passed	Remaining
0	1	151
1	2	128
2	4	140
3	5	132
4	7	135
5	8	131
6	9	130
7	11	128
8	12	123
9	13	120
10	14	115
11	15	113
12	16	112
13	18	111
14	19	107
15	20	105
16	21	102
17	22	101
18	23	98
19	24	96
20	25	94
21	26	92
22	26	90
23	27	88
24	28	86
25	29	84
26	30	82
27	31	80
28	32	79
29	33	77
30	34	76
31	35	75
32	36	74
33	37	72
34	38	71
35	39	69
36	40	69
37	41	67
38	42	66
39	43	65
40	44	63
41	44	61
42	45	60
43	46	59
44	47	57
45	48	56
46	49	55
47	49	54
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	45
55	57	44
56	58	43
57	58	42
58	60	41
59	61	40
60	62	39
61	62	38
62	63	37
63	64	36
64	66	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	91	6
93	92	5
94	93	4
95	93	3
96	94	2
97	95	1
98	96	0
99	96	0
