iter	Passed	Remaining
0	105	105837
1	108	54016
2	109	36231
3	109	27385
4	110	22034
5	111	18424
6	114	16175
7	130	16146
8	133	14714
9	134	13331
10	135	12181
11	136	11224
12	136	10390
13	152	10706
14	154	10115
15	154	9515
16	155	8992
17	156	8548
18	175	9070
19	183	8967
20	186	8708
21	187	8334
22	188	7988
23	188	7672
24	189	7378
25	190	7131
26	191	6908
27	192	6680
28	205	6878
29	206	6666
30	207	6501
31	208	6314
32	226	6629
33	227	6451
34	227	6280
35	228	6121
36	229	5968
37	231	5851
38	232	5723
39	233	5592
40	233	5463
41	237	5409
42	248	5536
43	249	5420
44	250	5325
45	251	5219
46	252	5126
47	255	5066
48	256	4975
49	257	4885
50	257	4794
51	258	4705
52	273	4888
53	274	4806
54	275	4734
55	289	4887
56	290	4813
57	293	4763
58	294	4690
59	295	4624
60	295	4555
61	296	4485
62	297	4420
63	299	4385
64	314	4517
65	314	4456
66	315	4393
67	316	4332
68	316	4271
69	317	4212
70	317	4155
71	318	4111
72	319	4061
73	321	4023
74	323	3988
75	323	3938
76	328	3937
77	353	4182
78	355	4146
79	360	4143
80	361	4105
81	362	4057
82	362	4007
83	365	3985
84	381	4108
85	382	4064
86	389	4084
87	391	4052
88	396	4063
89	397	4023
90	399	3991
91	402	3974
92	403	3933
93	404	3899
94	405	3859
95	405	3819
96	406	3781
97	412	3794
98	423	3854
99	424	3817
100	424	3781
101	425	3744
102	425	3707
103	427	3686
104	428	3653
105	429	3620
106	430	3589
107	430	3558
108	431	3527
109	432	3497
110	435	3491
111	437	3465
112	438	3438
113	438	3411
114	441	3398
115	442	3371
116	442	3342
117	443	3315
118	444	3289
119	445	3263
120	447	3251
121	448	3227
122	462	3298
123	463	3271
124	463	3246
125	464	3223
126	465	3197
127	465	3172
128	470	3177
129	471	3154
130	472	3132
131	477	3137
132	478	3116
133	480	3102
134	482	3092
135	483	3069
136	487	3069
137	502	3137
138	503	3121
139	504	3099
140	506	3086
141	507	3065
142	507	3043
143	508	3022
144	508	3001
145	509	2980
146	511	2966
147	513	2953
148	513	2935
149	514	2916
150	515	2898
151	517	2885
152	536	2968
153	541	2973
154	541	2954
155	542	2935
156	543	2916
157	560	2985
158	561	2967
159	562	2950
160	563	2936
161	564	2919
162	565	2902
163	566	2889
164	570	2885
165	571	2868
166	571	2851
167	572	2834
168	573	2821
169	576	2814
170	579	2807
171	580	2792
172	580	2776
173	581	2762
174	582	2745
175	589	2758
176	591	2751
177	606	2801
178	607	2785
179	607	2769
180	609	2756
181	610	2742
182	640	2860
183	642	2848
184	643	2836
185	645	2823
186	646	2810
187	647	2796
188	648	2782
189	649	2766
190	649	2751
191	650	2736
192	651	2722
193	653	2713
194	653	2699
195	655	2687
196	655	2673
197	656	2660
198	674	2715
199	675	2701
200	676	2688
201	679	2685
202	680	2672
203	687	2681
204	688	2669
205	689	2657
206	690	2645
207	707	2695
208	708	2681
209	710	2673
210	711	2660
211	712	2648
212	713	2635
